country_name,NAME,mp,result,first_party,second_party,electorate,valid_votes,invalid_votes,majority,constituency_info,Turnout (%)
Scotland,"Inverness, Nairn, Badenoch and Strathspey",Drew Hendry,SNP hold,SNP,Conservative,76844,52801,67,4924,"Inverness, Nairn, Badenoch and Strathspey
MP Drew Hendry
Result SNP",68.7
Scotland,Kilmarnock and Loudoun,Alan Brown,SNP hold,SNP,Labour,73327,46509,81,6269,"Kilmarnock and Loudoun
MP Alan Brown
Result SNP",63.4
Scotland,Kirkcaldy and Cowdenbeath,Lesley Laird,Labour gain from SNP,Labour,SNP,72721,46193,57,259,"Kirkcaldy and Cowdenbeath
MP Lesley Laird
Result Lab",63.5
Scotland,Lanark and Hamilton East,Angela Crawley,SNP hold,SNP,Conservative,77313,50470,57,266,"Lanark and Hamilton East
MP Angela Crawley
Result SNP",65.3
Scotland,Linlithgow and East Falkirk,Martyn Day,SNP hold,SNP,Labour,86186,56094,92,2919,"Linlithgow and East Falkirk
MP Martyn Day
Result SNP",65.1
Scotland,Livingston,Hannah Bardell,SNP hold,SNP,Labour,81208,52505,84,3878,"Livingston
MP Hannah Bardell
Result SNP",64.7
Scotland,Midlothian,Danielle Rowley,Labour gain from SNP,Labour,SNP,68328,45273,71,885,"Midlothian
MP Danielle Rowley
Result Lab",66.3
Scotland,Moray,Douglas Ross,Conservative gain from SNP,Conservative,SNP,70649,47605,62,4159,"Moray
MP Douglas Ross
Result Con",67.4
Scotland,Motherwell and Wishaw,Marion Fellows,SNP hold,SNP,Labour,68215,41926,58,318,"Motherwell and Wishaw
MP Marion Fellows
Result SNP",61.5
Scotland,Na h-Eileanan an Iar,Angus MacNeil,SNP hold,SNP,Labour,21301,14818,35,1007,"Na h-Eileanan an Iar
MP Angus MacNeil
Result SNP",69.6
Scotland,North Ayrshire and Arran,Patricia Gibson,SNP hold,SNP,Conservative,73176,47433,82,3633,"North Ayrshire and Arran
MP Patricia Gibson
Result SNP",64.8
Scotland,North East Fife,Stephen Gethins,SNP hold,SNP,Liberal Democrat,58685,41822,26,2,"North East Fife
MP Stephen Gethins
Result SNP",71.3
Scotland,Ochil and South Perthshire,Luke Graham,Conservative gain from SNP,Conservative,SNP,76767,54168,77,3359,"Ochil and South Perthshire
MP Luke  Graham
Result Con",70.6
Scotland,Orkney and Shetland,Alistair Carmichael,Liberal ‏‏‎ Democrat hold,Liberal Democrat,SNP,34164,23277,43,4563,"Orkney and Shetland
MP Alistair Carmichael
Result LD",68.1
Scotland,Paisley and Renfrewshire North,Gavin Newlands,SNP hold,SNP,Labour,67436,46615,51,2613,"Paisley and Renfrewshire North
MP Gavin Newlands
Result SNP",69.1
Scotland,Paisley and Renfrewshire South,Mhairi Black,SNP hold,SNP,Labour,61344,41712,59,2541,"Paisley and Renfrewshire South
MP Mhairi Black
Result SNP",68
Scotland,Perth and North Perthshire,Pete Wishart,SNP hold,SNP,Conservative,71762,51525,99,21,"Perth and North Perthshire
MP Pete Wishart
Result SNP",71.8
Scotland,"Ross, Skye and Lochaber",Ian Blackford,SNP hold,SNP,Conservative,53638,38454,49,5919,"Ross, Skye and Lochaber
MP Ian Blackford
Result SNP",71.7
Scotland,Rutherglen and Hamilton West,Gerard Killen,Labour gain from SNP,Labour,SNP,80098,50872,57,265,"Rutherglen and Hamilton West
MP Gerard Killen
Result Lab",63.5
Scotland,Stirling,Stephen Kerr,Conservative gain from SNP,Conservative,SNP,66415,49356,72,148,"Stirling
MP Stephen Kerr
Result Con",74.3
Scotland,West Aberdeenshire and Kincardine,Andrew Bowie,Conservative gain from SNP,Conservative,SNP,72477,51625,49,7950,"West Aberdeenshire and Kincardine
MP Andrew Bowie
Result Con",71.2
Scotland,West Dunbartonshire,Martin Docherty-Hughes,SNP hold,SNP,Labour,67602,44083,86,2288,"West Dunbartonshire
MP Martin Docherty-Hughes
Result SNP",65.2
