country_name,NAME,mp,result,first_party,second_party,electorate,valid_votes,invalid_votes,majority,constituency_info,Turnout (%)
Scotland,North Ayrshire and Arran,Patricia Gibson,SNP gain from Labour,SNP,Labour,75791,53869,86,13573,"North Ayrshire and Arran
MP Patricia Gibson
Result SNP",71.1
Scotland,North East Fife,Stephen Gethins,SNP gain from Liberal Democrat,SNP,Liberal Democrat,62003,45263,47,4344,"North East Fife
MP Stephen Gethins
Result SNP",73
Scotland,Ochil and South Perthshire,Tasmina Ahmed-Sheikh,SNP gain from Labour,SNP,Labour,77370,57871,75,10168,"Ochil and South Perthshire
MP Tasmina Ahmed-Sheikh
Result SNP",74.8
Scotland,Orkney and Shetland,Alistair Carmichael,Liberal Democrat hold,Liberal Democrat,SNP,34552,22728,75,817,"Orkney and Shetland
MP Alistair Carmichael
Result LD",65.8
Scotland,Paisley and Renfrewshire North,Gavin Newlands,SNP gain from Labour,SNP,Labour,66206,50462,60,9076,"Paisley and Renfrewshire North
MP Gavin Newlands
Result SNP",76.2
Scotland,Paisley and Renfrewshire South,Mhairi Black,SNP gain from Labour,SNP,Labour,61281,46226,69,5684,"Paisley and Renfrewshire South
MP Mhairi Black
Result SNP",75.4
Scotland,Perth and North Perthshire,Pete Wishart,SNP hold,SNP,Conservative,72459,54200,64,9641,"Perth and North Perthshire
MP Pete Wishart
Result SNP",74.8
Scotland,"Ross, Skye and Lochaber",Ian Blackford,SNP gain from Liberal Democrat,SNP,Liberal Democrat,54169,41811,39,5124,"Ross, Skye and Lochaber
MP Ian Blackford
Result SNP",77.2
Scotland,Rutherglen and Hamilton West,Margaret Ferrier,SNP gain from Labour Coop,SNP,Labour,82830,57615,54,9975,"Rutherglen and Hamilton West
MP Margaret Ferrier
Result SNP",69.6
Scotland,Stirling,Steven Paterson,SNP gain from Labour,SNP,Labour,67236,52135,83,10480,"Stirling
MP Steven Paterson
Result SNP",77.5
Scotland,West Aberdeenshire and Kincardine,Stuart Donaldson,SNP gain from Liberal Democrat,SNP,Conservative,73445,55196,43,7033,"West Aberdeenshire and Kincardine
MP Stuart Donaldson
Result SNP",75.2
Scotland,West Dunbartonshire,Martin Docherty,SNP gain from Labour Coop,SNP,Labour,69208,51141,61,14171,"West Dunbartonshire
MP Martin Docherty
Result SNP",73.9
